laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
471,10,0.0023023791250959325,3,15.6,0.38910207214121256,0.003837298541826554,8,0.31619339984650807,0.0023023791250959325,5,0.0023023791250959325,2090.0
1010,7,0.0007674597083653108,4,13.3,0.04067536454336147,0.10283960092095165,8,0.31619339984650807,0.21565617805065235,5,0.0015349194167306216,1349.0
317,11,0.0007674597083653108,1,15.6,0.17651573292402148,0.11204911742133537,1,0.056024558710667687,0.023023791250959325,5,0.021488871834228703,2099.0
1224,7,0.0007674597083653108,3,15.6,0.21565617805065235,0.14581734458940906,8,0.31619339984650807,0.21565617805065235,5,0.010744435917114352,579.0
790,2,0.0007674597083653108,1,17.3,0.17651573292402148,0.03300076745970836,1,0.056024558710667687,0.023023791250959325,5,0.0030698388334612432,2350.0
1094,7,0.0015349194167306216,3,15.6,0.38910207214121256,0.052187260168841135,5,0.10130468150422103,0.1419800460475825,7,0.0061396776669224865,940.0
745,4,0.003837298541826554,0,13.3,0.03607060629316961,0.05525709900230238,8,0.17114351496546432,0.052187260168841135,5,0.0007674597083653108,659.0
621,4,0.00920951650038373,3,15.6,0.21565617805065235,0.010744435917114352,5,0.10130468150422103,0.21565617805065235,2,0.003837298541826554,869.0
609,0,0.0007674597083653108,3,14.0,0.38910207214121256,0.003837298541826554,5,0.02916346891788181,0.029930928626247123,5,0.015349194167306216,329.0
982,4,0.011511895625479662,1,17.3,0.17651573292402148,0.11204911742133537,4,0.056024558710667687,0.023023791250959325,5,0.00844205679201842,3149.0
182,10,0.0007674597083653108,3,15.6,0.38910207214121256,0.14581734458940906,8,0.07214121258633922,0.0007674597083653108,5,0.0023023791250959325,813.0
1037,7,0.004604758250191865,3,14.0,0.38910207214121256,0.10283960092095165,8,0.31619339984650807,0.015349194167306216,5,0.006907137375287797,1185.43
1189,7,0.013814274750575594,3,15.6,0.38910207214121256,0.056024558710667687,1,0.09056024558710668,0.052187260168841135,5,0.044512663085188024,1159.0
1179,11,0.0007674597083653108,1,14.0,0.38910207214121256,0.03300076745970836,1,0.056024558710667687,0.003837298541826554,5,0.013814274750575594,1769.0
